Comment Date,Comment
"Oct 15, 2020, 9:57:08 PM","Sergio Longoria no, tuve que caminar un poco jajaja"
"Mar 21, 2022, 4:34:07 PM","Bona feina, ara vina a la uni a estudiar"
"Oct 1, 2022, 10:35:49 AM","Pero posa tranvía enlloc de tren, fatal"
"Dec 24, 2022, 1:08:03 PM",@AlexP vamos a por ti
"Feb 14, 2024, 10:08:26 PM",Ja podria haver fet 1 metre mes
"Mar 3, 2024, 9:23:42 AM",🏃🏽💨💨💨💨💨💨💨💨 fiiuummmmm
"Apr 14, 2024, 11:36:30 AM",A este ritmo te follo (sin protección)
"Apr 20, 2024, 11:45:31 AM","Vaya clavada de ritmos, soc bonissim"
"May 5, 2024, 9:05:38 AM",Joan Gracia 🔱 tants anys de estudi i esforç han donat resultats💪🏻💪🏻💪🏻
"May 16, 2024, 8:12:12 PM",Pere Fraga tinc el titol regalat
"Jul 1, 2024, 7:10:10 PM",Casi ens creuem
"Sep 19, 2024, 8:37:00 PM",Estas boig a quin ritme has fet els blocs de 1000
"Sep 22, 2024, 8:37:30 PM",Albert Gorgori Gonzalez 😂😂😂 es el Dani Suque nose si el coneixes
"Sep 28, 2024, 5:06:58 PM",Albert Gorgori Gonzalez esque estava mort del puto padel jajajja ni 10 min nedant i cap acasa
"Sep 29, 2024, 7:27:38 AM",Siuuuu
"Sep 29, 2024, 8:47:23 AM",Honor
"Sep 29, 2024, 8:48:46 AM","Albert Gorgori Gonzalez Pere Fraga Pau Alcázar Perdomo gràcies afició, ha sigut un bon entreno per la Unirun "
"Sep 29, 2024, 5:21:33 PM",Estas boig pffff
"Oct 8, 2024, 6:21:35 AM",Albert Gorgori Gonzalez vdot running calculator
"Oct 8, 2024, 6:24:52 PM",Albert Gorgori Gonzalez l'any que ve bastant possible 
"Oct 13, 2024, 1:33:09 PM",Historic
"Oct 14, 2024, 8:48:43 PM",Serietat
"Oct 14, 2024, 8:49:10 PM",Albert Gorgori Gonzalez aqui nomes donem show del bo
"Oct 19, 2024, 11:13:33 AM","Albert Gorgori Gonzalez exacte, casi atropello una avia amb el gos "
"Oct 26, 2024, 7:41:28 AM",Fes història 
"Oct 27, 2024, 1:39:35 PM",Siiiuuuuuuuu show show show
"Nov 9, 2024, 7:41:03 PM","Albert Gorgori Gonzalez li acabo de preguntar, segur que diu que mestic morint de algo xungo"
"Nov 11, 2024, 7:22:19 PM",Albert Gorgori Gonzalez ara objectiu els jocs de 2028
"Nov 11, 2024, 7:33:42 PM",Si no coincideixen horaris vull Futsal de cecs i Doma classica
"Nov 24, 2024, 12:03:01 PM",Joan Gracia 99% segur la faig a no ser que em torni a lesionar fent el tonto✍🏽✍🏽✍🏽
"Dec 6, 2024, 12:10:04 PM",Albert Gorgori Gonzalez siuuuuu pero del chill
"Dec 8, 2024, 11:44:11 AM",El jove Llamí Anal pels amics
"Dec 20, 2024, 2:24:11 PM",Benvingut a casa
"Dec 24, 2024, 12:05:45 PM",Jo hi crec
"Dec 25, 2024, 2:49:36 PM",Siiiuuuuuuu
"Dec 30, 2024, 6:44:46 PM",Quin team mes potent
"Jan 1, 2025, 12:44:21 AM","Quina barbaritat es aixo tu, feliç any"
"Jan 4, 2025, 10:51:32 AM",🏆
"Jan 5, 2025, 11:04:18 AM",Anaves a tope pujant per cartagena 💨
"Jan 5, 2025, 7:33:09 PM",Albert Gorgori Gonzalez he de espavilar o palmare a la mitja
"Jan 6, 2025, 8:07:36 PM",Acabaste
"Jan 7, 2025, 7:03:48 PM",#AnimsDavid 🙏🏻
"Jan 7, 2025, 7:24:45 PM","Albert Gorgori Gonzalez la millor activitat de strava, un cop mes"
"Jan 8, 2025, 10:25:04 PM",He estat apunt de venir pero jugava el barça a les 8😂😂😂
"Jan 10, 2025, 1:52:52 PM",Recuperado? 🏥
"Jan 11, 2025, 12:59:29 PM",33km????
"Jan 11, 2025, 1:08:01 PM",Ho sento Joan Fernández Ardanuy no he fet gemels
"Jan 13, 2025, 8:41:45 AM",fresh
"Jan 14, 2025, 7:44:37 PM",Siuuuuu 
"Jan 16, 2025, 8:05:08 PM",Ella se lo pierde...
"Jan 21, 2025, 7:53:37 PM","HISTORY
"
"Jan 22, 2025, 10:11:06 PM","Óscar Brunet anar corrent sempre, tornar corrent es nomes per valents jajajaj"
"Jan 23, 2025, 8:09:38 PM",Tadej Pogačar Pogi 
"Jan 26, 2025, 11:55:04 AM",Vas molt fort 
"Jan 28, 2025, 8:28:34 PM",Albert Gorgori Gonzalez molt millor pel mati amb els divorciats i domingueros...
"Jan 29, 2025, 9:59:48 PM",Es el logo de GACHAC?
"Feb 1, 2025, 3:36:36 PM","Pau Alcázar Perdomo per curiositat, a quines pulsacions ho has fet de mitja?"
"Feb 1, 2025, 3:55:07 PM",Una polla pffff
"Feb 1, 2025, 8:28:10 PM",Siuuuuuuu
"Feb 7, 2025, 6:48:54 PM",Send me datos
"Feb 11, 2025, 6:31:27 AM",Ironman sencer??
"Feb 11, 2025, 10:15:43 PM",Exòtic 
"Feb 16, 2025, 9:56:37 AM",SIUUUUUUUUU
"Feb 16, 2025, 10:35:03 AM",Tornaràs🙏🏻🕊️
"Feb 16, 2025, 11:08:46 AM",Grandeeeee👏🏻👏🏻👏🏻
"Feb 16, 2025, 2:40:44 PM",Gràcies afició Martina Carrés Carol del Corral Farrarós Óscar Brunet Andreu Gordillo Vázquez Pau Alcázar Perdomo ens veiem a la UNIRUN🏆
"Feb 19, 2025, 6:53:05 PM","Albert Gorgori Gonzalez tots els anys sha de fer la unirun, fins que baixi de 20'"
"Feb 20, 2025, 7:17:49 AM",Klaus Ditterich Martin 2 de març a les 9:00 ho veurem.
"Feb 20, 2025, 8:48:17 PM",🚴🏻💥🚙  🪦
"Feb 21, 2025, 6:22:56 PM",Tadej?
"Feb 23, 2025, 8:27:05 AM",Vaya vidorra 🫣
"Feb 23, 2025, 9:25:16 PM","David Sabat Fernandez triatlon 2026, she will be there"
"Feb 24, 2025, 9:07:35 PM",i una polla aquest ritmo djsjajajsjja el GPS ha fallat segur
"Feb 24, 2025, 10:33:36 PM","Pau Alcázar Perdomo el millor temps dels ultims 5 anys es 15:15, ho tinc estudiat, tinvito a dinar sin coñas "
"Feb 25, 2025, 7:42:43 PM",jo dic no
"Feb 28, 2025, 4:05:22 PM",Albert Gorgori Gonzalez si pero del recorregut de fa 2 anys (el millor)
"Mar 2, 2025, 10:37:25 AM",Dídac Puig NOOO the vist just a la sortida pero no mha donat temps a dir res  Dídac 
"Mar 2, 2025, 11:10:17 AM",MVP🏆
"Mar 3, 2025, 8:36:12 AM",Pau Alcázar Perdomo si. 2030 quedem 🥇 i 🥈 (no dire qui es qui)
"Mar 5, 2025, 6:47:22 PM",Albert Gorgori Gonzalez 363 days to go
"Mar 6, 2025, 7:08:38 AM",😔
"Mar 10, 2025, 12:56:58 PM",Nooooooo dep
"Mar 15, 2025, 9:52:50 AM",Que es aixo de Wandrer
"Mar 16, 2025, 2:39:53 PM",Històric 
"Mar 27, 2025, 7:19:55 PM",Puta Real Madrid! Visca el barça
"Mar 27, 2025, 9:07:34 PM","Pau  Pau ja saps el que has de dir, no ho escric que em banegen de strava"
"Mar 28, 2025, 4:16:20 PM",Albert Gorgori Gonzalez avui nomes 1 que no tenia temps😂😂 proximament mes
"Apr 2, 2025, 7:44:42 AM",Que son estos madrugones marta
"Apr 2, 2025, 7:11:04 PM",Pau  Pau bombardiro crocodilo 
"Apr 10, 2025, 12:19:41 PM",Cametes de qualitat🍗🍗
"Apr 11, 2025, 2:00:48 PM",Pau Alcázar Perdomo si si i si 
"Apr 12, 2025, 12:44:19 PM",Algun dia m'unire a half cycling 
"Apr 14, 2025, 6:56:27 AM",Albert Gorgori Gonzalez molt dur
"Apr 14, 2025, 7:15:44 PM","Ojo el turnell, esguinç?"
"Apr 15, 2025, 7:16:00 PM",CEO thas anat a viure alla o estas fent unes vacances històriques?
"Apr 16, 2025, 6:53:31 PM","Albert Gorgori Gonzalez vinicius tambe, em confirmen desde Madrid"
"Apr 22, 2025, 11:11:38 AM",Thas despertat amb ganes de fer historia
"Apr 24, 2025, 6:37:52 PM",Ho estas fent
"Apr 25, 2025, 3:44:44 PM",Pau Alcázar Perdomo tot per informar als fans ✍🏻✍🏻
"Apr 26, 2025, 4:16:51 PM","Albert Gorgori Gonzalez pensava que no ho veuria mai, historia barcelonina"
"Apr 27, 2025, 9:39:43 PM",GOAT
"May 1, 2025, 6:55:14 PM",Which race is it?
"May 2, 2025, 12:57:24 PM",Bentornat a Catalunya
"May 3, 2025, 12:32:19 PM",Pau Alcázar Perdomo siuuu
"May 3, 2025, 12:35:06 PM",Pau Alcázar Perdomo que grandeee fas la 10k o 15k?
"May 3, 2025, 12:36:10 PM",Pau Alcázar Perdomo ets un animal 🏆🦍
"May 4, 2025, 9:31:56 AM","Anims, el teu moment sera la Unirun "
"May 4, 2025, 9:33:43 AM",Pau Alcázar Perdomo no se si repetire aixo de anar per la muntanya jajajajja durisim
