Following Athlete ID,Follow Status,Created At
65772803,Accepted,"Aug 24, 2020, 4:37:55 PM"
59966832,Accepted,"Aug 28, 2021, 2:26:09 PM"
51456498,Accepted,"May 9, 2022, 12:21:32 PM"
111471043,Accepted,"Apr 6, 2023, 12:45:29 PM"
124638687,Accepted,"Sep 17, 2023, 3:55:31 PM"
35371920,Accepted,"Sep 30, 2023, 7:39:56 AM"
106117835,Accepted,"Dec 12, 2023, 1:33:05 PM"
34531878,Accepted,"Dec 13, 2023, 1:14:57 PM"
61079425,Accepted,"Dec 29, 2023, 7:13:05 PM"
86546547,Accepted,"Feb 12, 2024, 6:41:18 PM"
59247116,Accepted,"Mar 29, 2024, 12:39:00 PM"
34898316,Accepted,"May 4, 2024, 2:19:32 PM"
121177070,Accepted,"Aug 13, 2024, 8:22:49 PM"
30237817,Accepted,"Sep 30, 2024, 8:45:20 AM"
149852108,Accepted,"Oct 14, 2024, 12:51:11 PM"
23069503,Accepted,"Oct 15, 2024, 6:27:41 AM"
6021015,Accepted,"Oct 15, 2024, 6:31:43 AM"
23275968,Accepted,"Oct 16, 2024, 8:17:09 PM"
77759309,Accepted,"Oct 16, 2024, 8:17:09 PM"
32046664,Accepted,"Oct 30, 2024, 8:24:47 PM"
147850082,Accepted,"Nov 20, 2024, 7:59:33 AM"
116137174,Accepted,"Dec 30, 2024, 8:44:39 PM"
38789631,Accepted,"Jan 5, 2025, 10:47:24 AM"
39751759,Accepted,"Jan 5, 2025, 10:50:59 AM"
155454187,Accepted,"Jan 6, 2025, 6:09:10 PM"
105044807,Accepted,"Jan 22, 2025, 9:33:14 PM"
41166821,Accepted,"Feb 16, 2025, 4:58:58 PM"
2078161,Pending,"Mar 4, 2025, 3:55:12 PM"
15938333,Accepted,"Mar 12, 2025, 11:16:47 PM"
128988889,Accepted,"Mar 15, 2025, 11:13:54 AM"
110668359,Accepted,"Mar 20, 2025, 6:53:30 PM"
17410264,Accepted,"Mar 20, 2025, 6:54:16 PM"
2888217,Accepted,"Mar 21, 2025, 1:28:16 PM"
161808813,Accepted,"Apr 4, 2025, 3:01:45 PM"
54420563,Accepted,"Apr 12, 2025, 8:45:08 PM"
17576161,Accepted,"Apr 16, 2025, 7:33:25 PM"
41098814,Accepted,"Apr 29, 2025, 6:57:40 PM"
14135179,Accepted,"May 5, 2025, 10:10:29 AM"
