Join Date,Name,Completed
"Sep 7, 2020, 10:26:10 PM",September Cycling Distance Challenge,false
"Sep 7, 2020, 10:26:12 PM",September Cycling Challenge,false
"Sep 7, 2020, 10:26:15 PM",September Gran Fondo,false
"Sep 7, 2020, 10:26:16 PM",September Cycling Climbing Challenge,false
"Sep 15, 2020, 12:14:34 PM",September Cycling Endurance Challenge,false
"Sep 30, 2020, 9:28:06 AM",October Cycling Distance Challenge,false
"Sep 30, 2020, 9:28:07 AM",October Cycling Challenge,false
"Sep 30, 2020, 9:28:08 AM",October Gran Fondo,false
"Sep 30, 2020, 9:28:09 AM",October Cycling Climbing Challenge,false
"Sep 30, 2020, 9:28:11 AM",October Swim Challenge,false
"Sep 30, 2020, 9:28:11 AM",October Cycling Endurance Challenge,false
"Sep 30, 2020, 9:28:13 AM",October Running Challenge,false
"Sep 30, 2020, 9:28:13 AM",October Running Endurance Challenge,false
"Sep 30, 2020, 9:28:14 AM",October Half Marathon,false
"Sep 30, 2020, 9:28:15 AM",October 5K,false
"Sep 30, 2020, 9:28:16 AM",October 10K,false
"Sep 30, 2020, 9:28:17 AM",October Running Distance Challenge,false
"Sep 30, 2020, 9:28:18 AM",October Run Climbing Challenge,false
"Sep 30, 2020, 9:28:18 AM",October Walk Challenge,false
"Nov 1, 2020, 4:08:19 PM",ODLO Be Aware of What You Wear,true
"Nov 1, 2020, 4:08:23 PM",Le Col Rise Above Winter Challenge,true
"Nov 1, 2020, 4:08:25 PM",November Cycling Endurance Challenge,false
"Nov 1, 2020, 4:08:28 PM",November Cycling Climbing Challenge,false
"Nov 1, 2020, 4:08:30 PM",November Gran Fondo,false
"Nov 1, 2020, 4:08:31 PM",November Cycling Challenge,false
"Nov 1, 2020, 4:08:33 PM",November Cycling Distance Challenge,false
"Nov 1, 2020, 4:57:35 PM",Last of the Light,true
"Nov 3, 2020, 12:27:44 PM",November Favorite Way 400K,false
"Nov 4, 2020, 12:52:34 AM",FUTURUM 4 SEASONS CHALLENGE,true
"Nov 4, 2020, 12:52:41 AM",The ROKA N+1 Challenge,true
"Nov 29, 2020, 12:51:40 AM",December 10K,false
"Nov 29, 2020, 12:51:43 AM",December 5K,false
"Dec 4, 2020, 8:04:07 PM",December Gran Fondo,false
"Dec 4, 2020, 8:04:08 PM",December Cycling Challenge,false
"Dec 4, 2020, 8:04:57 PM",December 4x4 Challenge,false
